Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
464277;Norton Barrel Select Malbec 2019;Bodega Norton;0,75 l;10.99;14.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, kypsän karpaloinen, mausteinen, kevyen tamminen;pullo;metallinen kierrekapseli;14.0;5.2;;;;;80.0;vakiovalikoima;7792319677792
432417;Norton Privada 2016;Bodega Norton;0,75 l;18.99;25.19;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2016;Mendoza;Saattaa sisältää sakkaa;Malbec, Cabernet Sauvignon, Merlot, ;Täyteläinen, erittäin tanniininen, mustaherukkainen, tumman kirsikkainen, karhunvatukkainen, karpaloinen, hennon nahkainen, mausteinen;pullo;luonnonkorkki;14.5;5.8;;;;;80.0;vakiovalikoima;7792319678027
922217;Norton Reserva Malbec 2018;Bodega Norton;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;soveltuu vegaaneille;;Argentiina;Mendoza;2018;;;Malbec, ;Täyteläinen, tanniininen, karhunvatukkainen, kirsikkainen, kevyen suklainen, hennon setrinen, mausteinen;pullo;luonnonkorkki;14.5;5.5;;;;;80.0;vakiovalikoima;7792319678010
442377;Pascual Toso Cabernet Sauvignon 2015;Pascual Toso;0,75 l;9.98;13.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, luumuinen, kirsikkahilloinen, kevyen mokkainen, hennon vaniljainen;pullo;metallinen kierrekapseli;13.5;4.7;2;;;;80.0;vakiovalikoima;7791670003431
913707;Paula Malbec 2018;Viña Doña Paula;0,75 l;10.99;14.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, hedelmäinen, mausteinen, aromikas;pullo;metallinen kierrekapseli;13.5;5.2;3;;;;80.0;tilausvalikoima;7798090160461
909812;Pedro Del Castillo Red Blend 2018;Bodega y Cavas de Weinert;0,75 l;12.98;17.17;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2018;Mendoza;;Bonarda, Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, mustaherukkainen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.8;2;;;;80.0;tilausvalikoima;7790417901504
915664;Renacer Milamore 2015;Bodega Renacer;0,375 l;14.98;39.68;;110;punaviinit;Mehevä & Hilloinen;soveltuu vegaaneille;;Argentiina;Mendoza;2015;Mendoza;;Malbec, Cabernet Franc, Cabernet Sauvignon, Bonarda, ;Keskitäyteläinen, keskitanniininen, herukkainen, tumman kirsikkainen, hennon paprikainen, kevyen mausteinen;pullo;luonnonkorkki;14.0;5.2;6;;;;80.0;vakiovalikoima;7798127727797
946347;Renacer Punto Final Malbec 2019;Renacer;0,75 l;13.99;18.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;;;Malbec, ;Keskitäyteläinen, keskitanniininen, kirsikkainen, mustikkainen, kevyen metsämansikkainen, hennon kukkainen, yrttinen;pullo;luonnonkorkki;14.0;5.2;2;;;;80.0;vakiovalikoima;7798127721757
917645;Renacer Repasso Malbec Blended 2018;Renacer;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkainen, luumuinen, kukkainen;pullo;luonnonkorkki;14.0;5.2;7;;;;80.0;tilausvalikoima;7798127728077
414647;Ruca Malen Kinien Cabernet Sauvignon 2012;Ruca Malen;0,75 l;25.38;33.71;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2012;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Erittäin täyteläinen, tanniininen, mustaherukkainen, boysenmarjahilloinen, tumman kirsikkainen, kaakaoinen, kevyen setrinen, tamminen, runsas, pitkä;pullo;luonnonkorkki;14.1;5.6;2;;;;80.0;tilausvalikoima;7798090851901
437577;Santa Julia Colección Malbec 2018;Santa Julia;0,75 l;10.00;13.2;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2018;Mendoza;Saattaa sisältää sakkaa;Malbec, Syrah, ;Täyteläinen, keskitanniininen, luumuinen, tumman kirsikkainen, karhunvatukkahilloinen, mausteinen, kevyen kaakaoinen;pullo;metallinen kierrekapseli;13.5;5.2;3;;;;80.0;vakiovalikoima;7791728235333
907152;Santa Julia Malbec 2019;Santa Julia;0,187 l;3.39;18.13;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Keskitäyteläinen, keskitanniininen, vadelmainen, kirsikkainen, herukkainen, suklainen, mokkainen;pullo;metallinen kierrekapseli;13.5;4.6;;;;;80.0;vakiovalikoima;7791728021561
934332;Santa Julia Organic Malbec 2019;Zuccardi;0,75 l;10.98;14.64;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Keskitäyteläinen, keskitanniininen, karhunvatukkainen, marjainen, mustaherukkainen;pullo;metallinen kierrekapseli;13.5;4.9;1;;;;80.0;tilausvalikoima;7791728019155
485958;Santa Julia Organic Malbec 2019 kartonkitölkki;Santa Julia;1 l;9.98;9.98;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2019;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, boysenmarjainen, karpalohilloinen, kevyen paahteinen;kartonkitölkki;muovisuljin;13.5;5.3;2;;;;80.0;vakiovalikoima;7791728006148
453727;Santa Julia Pinot Noir Flores Negras 2019;Santa Julia Winery;0,75 l;17.50;23.33;;110;punaviinit;Marjaisa & Raikas;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2019;Uco Valley;Saattaa sisältää sakkaa;Pinot Noir, ;Keskitäyteläinen, keskitanniininen, kypsän punaherukkainen, vadelmainen, kirsikkainen, kevyen mausteinen;pullo;metallinen kierrekapseli;13.0;5.5;3;;;;80.0;vakiovalikoima;7791728234626
490777;Susana Balbo Crios Malbec 2017;Susana Balbo;0,75 l;17.90;23.87;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;;Malbec, ;Täyteläinen, tanniininen, herukkainen, kirsikkahilloinen, boysenmarjainen, tummasuklainen, pippurinen, kevyen tamminen;pullo;metallinen kierrekapseli;13.5;5.3;2;;;;80.0;vakiovalikoima;7798068480393
